zaehler,nr,bezeichnung,standard_status,bdew_status,standard_maximale_wiederholungen,bdew_maximale_wiederholungen,ebene,inhalt
0010,00001,UNH,M,M,1,1,0,Nachrichten-Kopfsegment
0020,00002,BGM,M,M,1,1,0,Beginn der Nachricht
0030,00003,DTM,C,R,9,1,1,Dokumentendatum
0050,,SG1,C,R,9,1,1,MP-ID Empfänger
0060,00004,NAD,M,M,1,1,1,MP-ID Empfänger
0050,,SG1,C,R,9,1,1,MP-ID Absender
0060,00005,NAD,M,M,1,1,1,MP-ID Absender
0070,,SG2,C,O,9,1,2,Ansprechpartner
0080,00006,CTA,M,M,1,1,2,Ansprechpartner
0090,00007,COM,C,R,9,5,3,Kommunikationsverbindung
0160,,SG4,C,D,99999,99999,1,EQD-RFF-RFF-SG6-SG7-SG7-SG7-SG7-SG7
0170,00008,EQD,M,M,1,1,1,Einzelheiten zu Equipment
0240,00009,RFF,C,R,999,1,2,Prüfidentifikator
0240,00010,RFF,C,R,999,1,2,Versionsangabe der betrachteten Summenzeitreihe
0300,,SG6,C,R,9,1,2,LOC-DTM-DTM
0310,00011,LOC,M,M,1,1,2,Meldepunkt
0320,00012,DTM,C,R,9,1,3,Betrachtungszeitintervall
0320,00013,DTM,C,R,9,1,3,Zeitpunkt der Statusvergabe
0330,,SG7,C,D,99,1,2,Prüfstatus Antwort auf Summenzeitreihen
0340,00014,STS,M,M,1,1,2,Prüfstatus Antwort auf Summenzeitreihen
0330,,SG7,C,D,99,1,2,Abweisung der Summenzeitreihe
0340,00015,STS,M,M,1,1,2,Abweisung der Summenzeitreihe
0330,,SG7,C,D,99,1,2,Prüfstatus zur Summenzeitreihe
0340,00016,STS,M,M,1,1,2,Prüfstatus zur Summenzeitreihe
0330,,SG7,C,D,99,1,2,Datenstatus zur Summenzeitreihe
0340,00017,STS,M,M,1,1,2,Datenstatus zur Summenzeitreihe
0330,,SG7,C,D,99,1,2,Abweisung Statusmeldung/-änderung
0340,00018,STS,M,M,1,1,2,Abweisung Statusmeldung/-änderung
0560,,SG14,C,D,99999,99999,1,"CNI-LOC-SG15-SG15-SG15-SG15-SG15-SG15-SG15-
SG15-SG15-SG15-SG15-SG15-SG15-SG15-SG15-SG15"
0570,00019,CNI,M,M,1,1,1,Sendungsdaten
0580,00020,LOC,C,D,9,1,2,Meldepunkt
0600,,SG15,M,D,99,1,2,MSB-Wechselstatus
0610,00021,STS,M,M,1,1,2,MSB-Wechselstatus
0620,00022,RFF,C,R,999,1,3,Prüfidentifikator
0620,00023,RFF,C,D,999,1,3,Referenz Nachrichtennummer
0620,00024,RFF,C,D,999,1,3,Referenz Vorgangsnummer
0630,00025,DTM,C,D,9,1,3,Datum/Uhrzeit/Zeitspanne
0730,,SG17,C,D,9,1,3,Messstellenbetreiber an der Messlokation
0740,00026,NAD,M,M,1,1,3,Messstellenbetreiber an der Messlokation
0600,,SG15,M,D,99,1,2,Status des Umbaus der Messlokation
0610,00027,STS,M,M,1,1,2,Status des Umbaus der Messlokation
0620,00028,RFF,C,R,999,1,3,Prüfidentifikator
0630,00029,DTM,C,D,9,1,3,Datum/Uhrzeit/Zeitspanne
0600,,SG15,M,D,99,1,2,Turnusauslesungsstatus
0610,00030,STS,M,M,1,1,2,Turnusauslesungsstatus
0620,00031,RFF,C,R,999,1,3,Prüfidentifikator
0630,00032,DTM,C,D,9,1,3,Datum/Uhrzeit/Zeitspanne
0600,,SG15,M,D,99,1,2,Ersteinbau iMS Planungsstatus
0610,00033,STS,M,M,1,1,2,Ersteinbau iMS Planungsstatus
0620,00034,RFF,C,R,999,1,3,Prüfidentifikator
0620,00035,RFF,C,D,999,1,3,Referenz auf die Marktlokation
0620,00036,RFF,C,D,999,1,3,Referenz auf den Preisschlüsselstamm
0630,00037,DTM,C,D,9,1,3,Datum/Uhrzeit/Zeitspanne
0600,,SG15,M,D,99,1,2,Ersteinbau mME Planungsstatus
0610,00038,STS,M,M,1,1,2,Ersteinbau mME Planungsstatus
0620,00039,RFF,C,R,999,1,3,Prüfidentifikator
0620,00040,RFF,C,R,999,1,3,Referenz auf die Marktlokation
0630,00041,DTM,C,D,9,1,3,Beginn des Zeitintervalls
0630,00042,DTM,C,D,9,1,3,Ende des Zeitintervalls
0600,,SG15,M,D,99,1,2,Gerätestatus
0610,00043,STS,M,M,1,1,2,Gerätestatus
0620,00044,RFF,C,R,999,1,3,Prüfidentifikator
0630,00045,DTM,C,R,9,1,3,Datum/Uhrzeit/Zeitspanne
0600,,SG15,M,D,99,1,2,Status zum Angebot oder Anfrage
0610,00046,STS,M,M,1,1,2,Status zum Angebot oder Anfrage
0620,00047,RFF,C,R,999,1,3,Prüfidentifikator
0620,00048,RFF,C,R,999,1,3,Referenziertes Angebot / Anfrage
0630,00049,DTM,C,D,9,1,3,Frühester Zeitpunkt
1040,,SG25,C,D,9999,1,3,Sendungspositionseinzelheiten
1050,00050,GID,M,M,1,1,3,Sendungspositionseinzelheiten
1090,00051,FTX,C,R,9,1,4,Freier Text
0600,,SG15,M,D,99,1,2,Bestellung
0610,00052,STS,M,M,1,1,2,Bestellung
0620,00053,RFF,C,R,999,1,3,Prüfidentifikator
0620,00054,RFF,C,R,999,1,3,Referenz auf die Bestellung
0630,00055,DTM,C,D,9,1,3,Datum/Uhrzeit/Zeitspanne
1040,,SG25,C,D,9999,1,3,Sendungspositionseinzelheiten
1050,00056,GID,M,M,1,1,3,Sendungspositionseinzelheiten
1090,00057,FTX,C,R,9,1,4,Freier Text
0600,,SG15,M,D,99,1,2,Status des Lieferscheins
0610,00058,STS,M,M,1,1,2,Status des Lieferscheins
0620,00059,RFF,C,R,999,1,3,Prüfidentifikator
0620,00060,RFF,C,R,999,1,3,Lieferschein
0660,,SG16,C,D,99,99,3,Weitere Information
0670,00061,EFI,M,M,1,1,3,Weitere Information
0710,00062,DTM,C,D,9,1,4,Beginn Messperiode
0710,00063,DTM,C,D,9,1,4,Ende Messperiode
0710,00064,DTM,C,D,9,1,4,Leistungsperiode
0720,00065,QTY,C,R,9,1,4,Menge
0600,,SG15,M,D,99,1,2,Status der Ausfallarbeit
0610,00066,STS,M,M,1,1,2,Status der Ausfallarbeit
0620,00067,RFF,C,R,999,1,3,Prüfidentifikator
0620,00068,RFF,C,R,999,1,3,Referenzangaben
0620,00069,RFF,C,D,999,1,3,Gegenvorschlag
0730,,SG17,C,D,9,1,3,"Ansprechpartner zum Gegenvorschlag bzw. zur
Korrekturanforderung"
0740,00070,NAD,M,M,1,1,3,"Ansprechpartner zum Gegenvorschlag bzw. zur
Korrekturanforderung"
0750,,SG18,C,R,9,1,4,Ansprechpartner
0760,00071,CTA,M,M,1,1,4,Ansprechpartner
0770,00072,COM,C,R,9,4,5,Kommunikationsverbindung
1040,,SG25,C,D,9999,1,3,Sendungspositionseinzelheiten
1050,00073,GID,M,M,1,1,3,Sendungspositionseinzelheiten
1090,00074,FTX,C,R,9,1,4,Freier Text
0600,,SG15,M,D,99,1,2,Status des Fahrplananteils
0610,00075,STS,M,M,1,1,2,Status des Fahrplananteils
0620,00076,RFF,C,R,999,1,3,Prüfidentifikator
0620,00077,RFF,C,R,999,1,3,Referenzangaben
0620,00078,RFF,C,D,999,1,3,Gegenvorschlag
0730,,SG17,C,D,9,1,3,"Ansprechpartner zum Gegenvorschlag bzw. zur
Korrekturanforderung"
