zaehler,nr,bezeichnung,standard_status,bdew_status,standard_maximale_wiederholungen,bdew_maximale_wiederholungen,ebene,inhalt
0010,00001,UNH,M,M,1,1,0,Nachrichten-Kopfsegment
0020,00002,BGM,M,M,1,1,0,Beginn der Nachricht
0030,00003,DTM,M,R,99,1,1,Dokumentendatum
0070,,SG2,M,R,99,1,1,MP-ID Empfänger
0080,00004,NAD,M,M,1,1,1,MP-ID Empfänger
0070,,SG2,M,R,99,1,1,MP-ID Absender
0080,00005,NAD,M,M,1,1,1,MP-ID Absender
0100,,SG3,M,M,99,99,1,Meldung
0110,00006,DOC,M,M,1,1,1,Dokument-/Nachricht-Einzelheiten
0120,,SG4,C,R,99,1,2,Prüfidentifikator
0130,00007,RFF,M,M,1,1,2,Prüfidentifikator
0120,,SG4,C,D,99,1,2,Referenz auf Anfrage bzw. früheren Vorgang
0130,00008,RFF,M,M,1,1,2,Referenzangaben
0150,,SG5,C,D,99,1,2,Ansprechpartner beim Nachrichtenabsender
0160,00009,NAD,M,M,1,1,2,Ansprechpartner beim Nachrichtenabsender
0170,,SG6,C,R,99,1,3,Ansprechpartner
0180,00010,CTA,M,M,1,1,3,Ansprechpartner
0190,00011,COM,C,R,99,5,4,Kommunikationsverbindung
0150,,SG5,C,D,99,1,2,Ansprechpartner beim Kunden
0160,00012,NAD,M,M,1,1,2,Ansprechpartner beim Kunden
0170,,SG6,C,R,99,1,3,Ansprechpartner
0180,00013,CTA,M,M,1,1,3,Ansprechpartner
0190,00014,COM,C,R,99,5,4,Kommunikationsverbindung
0200,,SG7,C,R,999,999,2,LIN-DTM-DTM-DTM-DTM-STS-STS-FTX-SG8
0210,00015,LIN,M,M,1,1,2,Positionsdaten
0240,00016,DTM,C,D,99,1,3,Zeitpunkt zu dem der Geräte-Status ermittelt wurde
0240,00017,DTM,C,D,99,1,3,Beginn des Geräte-Status
0240,00018,DTM,C,D,99,1,3,Ende des Geräte-Status
0240,00019,DTM,C,D,99,1,3,Ende des Zustands
0250,00020,STS,C,D,99,1,3,Gerätestatus
0250,00021,STS,C,D,99,1,3,Antwortstatus
0310,00022,FTX,C,O,9,1,3,Freier Text
0320,,SG8,C,R,999,1,3,NAD-LOC-RFF
0330,00023,NAD,M,M,1,1,3,Messlokation
0350,00024,LOC,C,R,99,1,4,Meldepunkt
0380,00025,RFF,C,D,99,99,4,Gestörte Messlokation 
0440,00026,UNT,M,M,1,1,0,Nachrichten-Endesegment
