zaehler,nr,bezeichnung,standard_status,bdew_status,standard_maximale_wiederholungen,bdew_maximale_wiederholungen,ebene,inhalt
0010,00001,UNH,M,M,1,1,0,Nachrichten-Kopfsegment
0020,00002,BGM,M,M,1,1,0,Beginn der Nachricht
0030,00003,DTM,M,M,35,1,1,Nachrichtendatum
0030,00004,DTM,M,D,35,1,1,Datum zum geplanten Leistungsbeginn
0030,00005,DTM,M,D,35,1,1,Ausführungsdatum
0030,00006,DTM,M,D,35,1,1,Beginn zum (nächstmöglichen Termin)
0030,00007,DTM,M,D,35,1,1,"Erforderliche Zeitspanne zur Einrichtung der
Übermittlung von Werten ab Bestellung"
0030,00008,DTM,M,D,35,1,1,Gültigkeitsdauer (Bindungsfrist des Angebots)
0060,00009,IMD,C,D,999,1,1,Produkt-/Leistungsbeschreibung
0080,00010,FTX,C,D,99,1,1,Allgemeine Information (Feld für allgemeine Hinweise)
0100,,SG1,C,D,9999,1,1,Referenz der Anfrage
0110,00011,RFF,M,M,1,1,1,Nachrichtennummer der Anfrage
0100,,SG1,C,R,9999,1,1,Prüfidentifikator
0110,00012,RFF,M,M,1,1,1,Prüfidentifikator
0200,,SG4,C,D,5,1,1,Währungsangaben
0210,00013,CUX,M,M,1,1,1,Währungsangaben
0530,,SG11,C,R,99,1,1,MP-ID Absender
0540,00014,NAD,M,M,1,1,1,MP-ID Absender
0640,,SG14,C,R,5,1,2,Kontaktinformationen
0650,00015,CTA,M,M,1,1,2,Ansprechpartner
0660,00016,COM,C,R,5,5,3,Kommunikationsverbindung
0530,,SG11,C,R,99,1,1,MP-ID Empfänger
0540,00017,NAD,M,M,1,1,1,MP-ID Empfänger
0530,,SG11,C,R,99,1,1,"Liefer-, bzw. Bezugsort"
0540,00018,NAD,M,M,1,1,1,"Liefer-, bzw. Bezugsort"
0550,00019,LOC,C,R,99,1,2,Meldepunkt
1060,,SG27,M,D,200000,200000,1,Positionsteil
1070,00020,LIN,M,M,1,1,1,Positionsdaten
1080,00021,PIA,C,D,25,1,2,Zusätzliche Produktidentifikation
1090,00022,IMD,C,D,99,1,2,Produkt-/Leistungsbeschreibung
1140,00023,DTM,C,D,35,1,2,Baujahr/Jahr des In Verkehrs bringen
1140,00024,DTM,C,D,35,1,2,Eichgültigkeitsdauer bis
1150,00025,GIN,C,D,1000,3,2,Herstellernummer
1180,00026,FTX,C,D,99,1,2,Allgemeine Information (Feld für allgemeine Hinweise)
1230,,SG28,C,D,999,1,2,Zähleinrichtung
1240,00027,CCI,M,M,1,1,2,Zähleinrichtung
1250,00028,CAV,C,R,10,1,3,Zähleinrichtung/Zählertyp
1250,00029,CAV,C,D,10,1,3,Zähleinrichtung/Zählergröße (Gas)
1250,00030,CAV,C,D,10,1,3,Zähleinrichtung/Tarifanzahl
1250,00031,CAV,C,D,10,1,3,Zähleinrichtung/Energierichtung
1230,,SG28,C,D,999,1,2,Wandler
1240,00032,CCI,M,M,1,1,2,Wandler
1250,00033,CAV,C,R,10,1,3,Wandlertyp und Faktor
1230,,SG28,C,D,999,1,2,Mengenumwerter
1240,00034,CCI,M,M,1,1,2,Mengenumwerter
1250,00035,CAV,C,R,10,1,3,Mengenumwertertyp
1230,,SG28,C,D,999,1,2,Kommunikationseinrichtung
1240,00036,CCI,M,M,1,1,2,Kommunikationseinrichtung
1250,00037,CAV,C,R,10,1,3,Kommunikationseinrichtung
1230,,SG28,C,D,999,1,2,Technische Steuereinrichtung
1240,00038,CCI,M,M,1,1,2,Technische Steuereinrichtung
1250,00039,CAV,C,R,10,1,3,Technische Steuereinrichtung
1230,,SG28,C,D,999,1,2,Smartmeter-Gateway
1240,00040,CCI,M,M,1,1,2,Smartmeter-Gateway
1230,,SG28,C,D,999,1,2,Steuerbox
1240,00041,CCI,M,M,1,1,2,Steuerbox
1230,,SG28,C,D,999,1,2,Befestigungsart
1240,00042,CCI,M,M,1,1,2,Befestigungsart
1250,00043,CAV,C,R,10,1,3,Befestigungsart
1230,,SG28,C,D,999,1,2,Messwerterfassung
1240,00044,CCI,M,M,1,1,2,Messwerterfassung
1250,00045,CAV,C,R,10,1,3,Messwerterfassung
1360,,SG31,C,D,99,2,2,Preisangabe zur Position
1370,00046,PRI,M,M,1,1,2,Preisangaben
1420,,SG32,C,D,9999,9999,2,Gerätenummer
1430,00047,RFF,M,M,1,1,2,Gerätenummer
1420,,SG32,C,D,9999,9999,2,Referenz auf ID weiterer Marktlokationen
1430,00048,RFF,M,M,1,1,2,Referenz auf ID weiterer Marktlokationen
1420,,SG32,C,D,9999,9999,2,Referenz auf veröffentlichte Preisliste
1430,00049,RFF,M,M,1,1,2,Referenz auf einen veröffentlichten Preiskatalog
1840,,SG42,C,D,999,1,2,Beteiligter Marktpartner MP-ID
1850,00050,NAD,M,M,1,1,2,Beteiligter Marktpartner MP-ID
1060,,SG27,M,D,200000,1,1,Erforderliches Produkt Schaltzeitdefinitionen
1070,00051,LIN,M,M,1,1,1,Erforderliches Produkt Schaltzeitdefinitionen
1080,00052,PIA,C,R,25,1,2,Erforderliches Produkt Schaltzeitdefinitionen
1080,00053,PIA,C,R,25,3,2,Artikel-ID
1230,,SG28,C,R,999,1,2,Zugeordnete Schaltzeitdefinition
1240,00054,CCI,M,M,1,1,2,Zugeordnete Schaltzeitdefinition
1060,,SG27,M,D,200000,1,1,Erforderliches Produkt Leistungskurvendefinitionen
1070,00055,LIN,M,M,1,1,1,Erforderliches Produkt Leistungskurvendefinitionen
1080,00056,PIA,C,R,25,1,2,Erforderliches Produkt Leistungskurvendefinitionen
1080,00057,PIA,C,R,25,3,2,Artikel-ID
1230,,SG28,C,R,999,1,2,Zugeordnete Leistungskurvendefinitionen
1240,00058,CCI,M,M,1,1,2,Zugeordnete Leistungskurvendefinition
1060,,SG27,M,D,200000,1,1,Erforderliches Produkt Ad-hoc-Steuerkanal
1070,00059,LIN,M,M,1,1,1,Erforderliches Produkt Ad-hoc-Steuerkanal
1080,00060,PIA,C,R,25,1,2,Erforderliches Produkt Ad-hoc-Steuerkanal
1080,00061,PIA,C,R,25,3,2,Artikel-ID
1060,,SG27,M,D,200000,1,1,"Erforderliches Messprodukt für Werte nach Typ 2 aus
Backend"
1070,00062,LIN,M,M,1,1,1,"Erforderliches Messprodukt für Werte nach Typ 2 aus
Backend"
1080,00063,PIA,C,R,25,1,2,"Erforderliches Messprodukt für Werte nach Typ 2 aus
Backend"
1080,00064,PIA,C,R,25,3,2,Artikel-ID
1080,00065,PIA,C,D,25,23,2,OBIS-Kennzahl für Werte nach Typ 2 Backend
1360,,SG31,C,D,99,3,2,Preisangabe zur Position
1370,00066,PRI,M,M,1,1,2,Preisangaben
1060,,SG27,M,D,200000,1,1,"Erforderliches Produkt Konfigurationserlaubnis für
Werte nach Typ 2 aus SMGW"
1070,00067,LIN,M,M,1,1,1,"Erforderliches Produkt Konfigurationserlaubnis für Werte
nach Typ 2 aus SMGW"
1080,00068,PIA,C,R,25,1,2,"Erforderliches Produkt Konfigurationserlaubnis für Werte
nach Typ 2 aus SMGW"
1080,00069,PIA,C,R,25,3,2,Artikel-ID
1230,,SG28,C,R,999,1,2,Änderungsmöglichkeit der Konfiguration im SMGW
1240,00070,CCI,M,M,1,1,2,Änderungsmöglichkeit der Konfiguration im SMGW
1230,,SG28,C,D,999,999,2,Schwellwerte
1240,00071,CCI,M,M,1,1,2,Schwellwerte
